name,price,bookmark,happy,sad,food_type,location,Num_review,highlight,num_branch,num_seat,pay_list,other_facility,path,taste,decor,service,hygiene,value,overall
Le Saigon Cuisine 小越廚,Below $50,8682,299,20,Vietnamese,Tsuen Wan,409,0,1,0,"AlipayHK,Alipay,Cash","Parking,Phone Reservation,10% Service Charge,Spot payment","12-min walk from Exit A3, Tsuen Wan MTR Station",4,3,4,3,4,18
Ushi City Stone Grill House 牛?,$101-200,10266,326,3,Japanese,Tsuen Wan,350,0,1,32,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,Reward Dining Points,Spot payment","12-min walk from Exit A3, Tsuen Wan MTR Station",4,4,4,4,4,20
Manya Japanese Restaurant (Chung On Street) 滿屋日本料理 (眾安街),$201-400,36793,689,88,Japanese,Tsuen Wan,898,0,3,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,Phone Reservation,Reward Dining Points,10% Service Charge,Spot payment","Exit B1, Tsuen Wan MTR Station",3,3,4,3,3,16
B.O.T.H. by Texas Burger,$101-200,20563,235,13,Western,Tsuen Wan,329,0,,,,,,,,,,,
Ushi Shabu 牛?鍋日本料理,$101-200,16446,592,22,Japanese,Tsuen Wan,697,0,,,,,,,,,,,
Issyoukenmen (Kolor Tsuen Wan) 一生懸麵 (荃灣千色匯),$51-100,5885,163,6,Japanese,Tsuen Wan,205,0,3,0,"Cash,Octopus",0,"5-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
Fleur (Tsuen Wan),$101-200,11190,177,3,Australian,Tsuen Wan,251,0,,,,,,,,,,,
wow chicken leg (Lo Tak Court) 和順記 (路德圍),$51-100,7950,134,3,Hong Kong Style,Tsuen Wan,175,0,5,0,"AlipayHK,Alipay,Cash,Octopus,OpenRice Pay",Spot payment,"5-min walk from Exit D, Tsuen Wan MTR Station",4,3,4,4,4,19
Monster Spicy (Tai Ho Road) 川味雞烤魚大王 (大河道),$101-200,6709,256,9,Sichuan,Tsuen Wan,297,0,2,38,"Visa,Master,AlipayHK,Alipay,Cash","Alcoholic Drinks,May Bring Your Own Wine,Parking,Phone Reservation,10% Service Charge,Outdoor Seating,TV Broadcast,Spot payment","7-min walk from Exit A1, Tsuen Wan MTR Station",4,3,3,3,3,16
Sushi Tachi (On Foo Building) 立鮨 (安富大廈),$101-200,4715,194,2,Japanese,Tsuen Wan,220,0,4,0,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,Google Pay,WeChat Pay","Online Reservation,Phone Reservation,Reward Dining Points,10% Service Charge","6-min walk from Exit A1, Tsuen Wan MTR Station",4,4,4,4,4,20
SENSU (荃新天地一期),$101-200,15028,169,9,Japanese,Tsuen Wan,263,0,5,0,"Visa,Master,AlipayHK,Alipay,Cash,UnionPay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,10% Service Charge,Spot payment","Exit A1, Tsuen Wan West MTR Station, Exit D, Tsuen Wan West MTR Station",3,4,4,4,3,18
Duan Chun Zhen (NINA MALL 1) 段純貞牛肉麵 (如心廣場1期),$51-100,8765,240,22,Taiwan,Tsuen Wan,352,0,5,0,"AlipayHK,Alipay,WeChat Pay,OpenRice Pay","10% Service Charge,Spot payment","6-min walk from Exit D, Tsuen Wan West MTR Station",4,4,4,4,3,19
Victorian Era (Tsuen Wan Plaza) 香江花月 (荃灣廣場),$401-800,8175,152,1,"Asia Miles can be earned on eligible transactions of up to HKD10,000.",Tsuen Wan,182,0,,,,,,,,,,,
Blank Cafe 留白,$51-100,16618,182,1,Western,Tsuen Wan,250,0,1,16,Cash,Outdoor Seating,"5-min walk from Exit B3, Tsuen Wan MTR Station",4,3,3,3,4,17
Kitchen Corner 轉角‧見,$51-100,21756,254,14,Western,Tsuen Wan,381,0,1,30,"AlipayHK,Alipay,Cash","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Eco-Friendly,Delivery,10% Service Charge,Outdoor Seating,TV Broadcast,Spot payment","5-min walk from Exit B3, Tsuen Wan MTR Station",4,3,3,3,3,16
Bamboo Thai (如心廣場),$101-200,8305,156,4,"Asia Miles can be earned on eligible transactions of up to HKD10,000.",Tsuen Wan,184,0,3,0,"AlipayHK,Alipay,Cash,OpenRice Pay","Online Reservation,Spot payment","7-min walk from Exit D, Tsuen Wan West MTR Station",4,4,4,4,4,20
Gyushige (OP Mall) 牛繁 (海之戀商場),$201-400,13472,125,5,Japanese,Tsuen Wan,153,0,3,110,"AlipayHK,Alipay,Cash","Online Reservation,VIP Room,Phone Reservation,Spot payment","1-min walk from Exit E2, Tsuen Wan West MTR Station",4,4,4,4,4,20
Wai Wai Wai (Tsuen Wan Plaza) 圍威喂 (荃灣廣場),$101-200,6487,160,16,Thai,Tsuen Wan,222,0,,,,,,,,,,,
h?mu by favilla,$101-200,13498,192,14,Japanese,Tsuen Wan,305,0,,,,,,,,,,,
餃子屋,Below $50,19094,296,16,Jingchuanhu,Tsuen Wan,468,0,1,0,"Cash,Octopus","Wi-Fi,Alcoholic Drinks,10% Service Charge","5-min walk from Exit B2, Tsuen Wan MTR Station",4,2,3,3,4,16
The Itaewon Kitchen and Bar (D Park) 梨泰院 (愉景新城),$101-200,4455,207,21,Korean,Tsuen Wan,256,0,,,,,,,,,,,
A LAI NOODLE 阿荔車仔麵,Below $50,3114,149,7,Hong Kong Style,Tsuen Wan,175,0,1,40,"Visa,Master,AlipayHK,Alipay,Cash",Spot payment,"13-min walk from Exit A, Tsuen Wan West MTR Station",4,4,4,4,4,20
Golden Home Thaifood 金屋泰國菜館,$51-100,2673,136,2,Thai,Tsuen Wan,150,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,UnionPay","Online Reservation,May Bring Your Own Wine,Phone Reservation,Reward Dining Points,10% Service Charge","8-min walk from Exit D, Tsuen Wan West MTR Station",4,4,4,4,4,20
樓下冰室,$51-100,2460,310,7,Hong Kong Style,Tsuen Wan,357,0,2,0,"AlipayHK,Alipay,Cash",Spot payment,"8-min walk from Exit B, Tai Wo Hau MTR Station",4,4,4,4,4,20
Vici Stage,$101-200,4846,199,2,Western,Tsuen Wan,214,0,1,0,"Visa,Master,Cash","Online Reservation,Alcoholic Drinks,Reward Dining Points,10% Service Charge,Outdoor Seating","8-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
Honbo,$51-100,9685,187,6,American,Tsuen Wan,232,0,,,,,,,,,,,
Golden Phoenix Restaurant (CDW Place) 金鳳大餐廳 (中染大廈(8咪半)),$101-200,6049,196,19,Hong Kong Style,Tsuen Wan,266,0,7,0,"Visa,AlipayHK,Alipay,Cash",Spot payment,"6-min walk from Exit A3, Tsuen Wan MTR Station",3,4,3,3,3,16
Coti (沙咀道),Below $50,2392,147,0,Western,Tsuen Wan,156,0,,,,,,,,,,,
Lao Zhang Gui Dongbei Restaurant (OP Mall) 老掌櫃東北菜館 (海之戀商場),$51-100,24901,123,31,Northeastern,Tsuen Wan,254,0,3,100,"AlipayHK,Alipay,Cash","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Sea View,Outdoor Seating,Spot payment","1-min walk from Exit C, Tsuen Wan West MTR Station",3,3,3,3,3,15
Cube O - Journey with Seajellies,$201-400,9811,123,6,Western,Tsuen Wan,151,0,,,,,,,,,,,
G One Sushi Japanese Restaurant (Tai Pa Street) 鮨一日本料理 (大壩街),$51-100,5888,128,5,Japanese,Tsuen Wan,153,0,3,0,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,Reward Dining Points,Spot payment","14-min walk from Exit D, Tsuen Wan West MTR Station",4,4,4,4,3,19
Night Barbecue 共度一燒,$51-100,3716,132,1,Hong Kong Style,Tsuen Wan,144,0,2,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,payme","Online Reservation,Wi-Fi,Alcoholic Drinks,Reward Dining Points,Outdoor Seating","7-min walk from Exit A1, Tsuen Wan MTR Station",4,4,4,4,4,20
La Mensa Grill & Bar (Plaza 88),$201-400,4088,149,5,Western,Tsuen Wan,172,0,,,,,,,,,,,
Thai 2.0,$51-100,3156,147,4,Thai,Tsuen Wan,180,0,,,,,,,,,,,
Mom's Dry Noodles (Tsuen Wan Plaza) 老媽拌麵 (荃灣廣場),$51-100,6638,248,23,Taiwan,Tsuen Wan,342,0,,,,,,,,,,,
Social Place (Citywalk) 唐宮小聚 (荃新天地),$101-200,14414,214,19,Guangdong,Tsuen Wan,372,0,4,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,Apple Pay,Google Pay,WeChat Pay","Alcoholic Drinks,Phone Reservation,Delivery,10% Service Charge,Spot payment","Exit A1, Tsuen Wan West MTR Station, Exit D, Tsuen Wan West MTR Station",4,4,3,4,3,18
Jackpop 極品靚鍋,$201-400,8705,164,7,Hong Kong Style,Tsuen Wan,201,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,Phone Reservation,Reward Dining Points,TV Broadcast,Spot payment","Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
Lo Yau Kee (Waldorf Centre) 滷友記 (華都中心),Below $50,3312,156,4,Hong Kong Style,Tsuen Wan,173,0,2,0,"AlipayHK,Alipay,Cash,Octopus",Spot payment,"4-min walk from Exit B2, Tsuen Wan MTR Station",4,4,4,4,4,20
Coucou Hotpot‧Tea Break (Nina Tower) 湊湊火鍋‧茶憩 (如心廣場),$201-400,21070,130,38,Taiwan,Tsuen Wan,232,0,9,0,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,VIP Room,Phone Reservation,10% Service Charge","3-min walk from Exit C, Tsuen Wan West MTR Station",3,4,3,3,3,16
El Cerdo (Tai Pa Street) El Cerdo (大壩街),$201-400,16767,265,8,Spanish,Tsuen Wan,325,0,2,36,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,Google Pay,BoC Pay,WeChat Pay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Outdoor Seating,Spot payment","7-min walk from Exit A, Tsuen Wan West MTR Station",4,4,4,4,4,20
Aroma Dessert Cafe,$51-100,15925,219,19,Western,Tsuen Wan,361,0,1,25,Cash,"Alcoholic Drinks,May Bring Your Own Wine,Delivery,10% Service Charge","6-min walk from Exit A1, Tsuen Wan MTR Station",3,3,3,3,3,15
Cooking Haha 蝦蝦燒,$201-400,11919,279,1,Hong Kong Style,Tsuen Wan,305,0,2,0,"Visa,Master,AlipayHK,Alipay,Cash,Apple Pay,WeChat Pay","Online Reservation,Phone Reservation,10% Service Charge","Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
PUTIEN (Tsuen Wan Plaza) 莆田 (荃灣廣場),$101-200,6852,259,10,Fujian,Tsuen Wan,350,0,,,,,,,,,,,
Gyuugoku Stone Grill Steak (Tai Ho Road) 牛極 (大河道),$51-100,5010,193,3,Japanese,Tsuen Wan,220,0,10,0,"AlipayHK,Alipay,Cash","Online Reservation,Phone Reservation,Reward Dining Points,Exclusive Online Booking,Spot payment","7-min walk from Exit A1, Tsuen Wan MTR Station",4,4,4,4,4,20
Bench Cafe,$51-100,7264,111,10,Western,Tsuen Wan,170,0,1,0,"Visa,Master,Cash,Octopus","Online Reservation,Wi-Fi,May Bring Your Own Wine,Parking,Reward Dining Points,10% Service Charge,Outdoor Seating","6-min walk from Exit A, Tsuen Wan West MTR Station",3,4,3,4,3,17
Feather & Bone,$201-400,13170,88,10,British,Tsuen Wan,157,0,7,144,"Visa,Master,Cash,AE","Online Reservation,Cake-cutting,Phone Reservation,10% Service Charge,Outdoor Seating","1-min walk from Exit C2, Tsuen Wan West MTR Station",3,4,4,4,3,18
Artco． 33 雅高·33,$51-100,8686,332,22,Italian,Tsuen Wan,421,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE","Online Reservation,Reward Dining Points,Spot payment","9-min walk from Exit B1, Tsuen Wan MTR Station",3,3,3,3,4,16
MARKA HOUSE,$101-200,6435,143,2,Italian,Tsuen Wan,195,0,1,0,"Visa,Master,Cash,UnionPay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,10% Service Charge","3-min walk from Exit D, Tsuen Wan West MTR Station",4,4,4,4,3,19
Sun Kee Cafe 新記冰室,Below $50,6618,108,4,Hong Kong Style,Tsuen Wan,161,0,1,36,Cash,"10% Service Charge,TV Broadcast","5-min walk from Exit A1, Tsuen Wan MTR Station",4,3,4,4,4,19
台蔡滷肉飯,$51-100,11591,73,0,Taiwan,Tsuen Wan,112,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,Apple Pay,Google Pay,WeChat Pay,Others",Spot payment,"4-min walk from Exit D, Tsuen Wan MTR Station",3,3,4,4,3,17
Ikigai Concepts,$201-400,8171,232,5,Japanese,Tsuen Wan,256,0,1,200,"Visa,Master,AlipayHK,Cash,Octopus,AE,UnionPay,WeChat Pay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,Delivery,10% Service Charge","3-min walk from Exit D, Tsuen Wan West MTR Station",4,4,4,4,4,20
OS Plus (Citywalk) 蠔站 (荃新天地),$201-400,25295,131,31,Western,Tsuen Wan,265,0,8,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,WeChat Pay","Online Reservation,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,10% Service Charge,Spot payment","9-min walk from Exit A1, Tsuen Wan MTR Station",3,3,3,3,3,15
May's Spicy Kitchen 肥姐麻辣餐廳,$51-100,3059,157,8,Sichuan,Tsuen Wan,188,0,1,0,"AlipayHK,Alipay,Cash,OpenRice Pay","Online Reservation,Alcoholic Drinks,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Outdoor Seating,TV Broadcast,Spot payment","10-min walk from Exit A1, Tsuen Wan MTR Station",4,3,4,3,3,17
江湖小棧,$51-100,17289,94,7,Hong Kong Style,Tsuen Wan,147,0,1,50,Cash,"Alcoholic Drinks,10% Service Charge","6-min walk from Exit A1, Tsuen Wan MTR Station",4,3,3,3,3,16
