,name,price,bookmark,happy,sad,food_type,location,Num_review,highlight,num_branch,num_seat,pay_list,other_facility,path,taste,decor,service,hygiene,value,overall,rank,district,happy_vs_sad,price_int,highlight_int,num_payment,num_facility,mins_walk,Guangdong,Hong Kong Style,International,Japanese,Taiwan,Western,HK,KL,NT,payme,alipay,apple pay,openrice pay,visa,wechat,10% Service Charge,Alcoholic Drinks,Delivery,Parking,rank10,rank3,rank_foodtype,$101-200,$201-400,$401-800,$51-100,Above $801,Below $50,Central,Kowloon Bay,North Point,Tsim Sha Tsui,Tsuen Wan,Yau Ma Tei,Yuen Long,happy_scale,sad_scale,Num_review_scale,Num_review_scale,num_branch_scale,num_seat_scale,num_payment_scale,num_facility_scale
10,明愛白英奇賓館餐廳,Below $50,45,1,0,Western,Yau Ma Tei,1,0,1.0,30.0,['Cash'],['0'],"4-min walk from Exit C, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,1.0,1.0,4.0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.008771929824561403,0.028056112224448898,0.0,0.0
11,A-1 Bakery 英王麵包店,Below $50,45,1,0,Western,Yau Ma Tei,1,0,53.0,30.0,"['Cash', 'Octopus']",['0'],"1-min walk from Exit B1, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,2.0,1.0,1.0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.4649122807017544,0.028056112224448898,0.07142857142857142,0.0
12,百樂快餐店,Below $50,49,3,0,Hong Kong Style,Yau Ma Tei,5,0,1.0,30.0,['Cash'],['0'],"2-min walk from Exit A2, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,3.0,25,0,1.0,1.0,2.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0014255167498218,0.0,0.0024345709068776,0.0024345709068776,0.008771929824561403,0.028056112224448898,0.0,0.0
13,FaSoLa Snack 花蘇啦小食,Below $50,50,1,0,Hong Kong Style,Yau Ma Tei,1,0,1.0,30.0,"['AlipayHK', 'Alipay', 'Cash', 'Octopus', 'OpenRice Pay']","['Wi-Fi', 'Alcoholic Drinks', 'May Bring Your Own Wine', '10% Service Charge', 'TV Broadcast', 'Spot payment']","9-min walk from Exit D1, Olympic MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,5.0,6.0,9.0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.008771929824561403,0.028056112224448898,0.2857142857142857,0.3125
14,新百樂美味快餐店,Below $50,51,2,0,Hong Kong Style,Yau Ma Tei,2,0,1.0,30.0,['0'],['0'],"1-min walk from Exit A2, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,2.0,25,0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.0006086427267194,0.0006086427267194,0.008771929824561403,0.028056112224448898,0.0,0.0
15,7-Eleven Daily Cafe,Below $50,52,11,0,Hong Kong Style,Yau Ma Tei,22,0,24.0,30.0,"['AlipayHK', 'Alipay', 'Cash', 'Octopus', 'WeChat Pay']",['0'],"5-min walk from Exit B1, Jordan MTR Station",3.0,3.0,3.0,3.0,4.0,16.0,0,KL,11.0,25,0,5.0,1.0,5.0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.007127583749109,0.0,0.0127814972611077,0.0127814972611077,0.21052631578947367,0.028056112224448898,0.2857142857142857,0.0
16,Delight Restaurant 帝樂亞餐廳,Below $50,53,3,0,Hong Kong Style,Yau Ma Tei,5,0,1.0,30.0,"['Cash', 'Octopus']",['0'],"5-min walk from Exit B1, Jordan MTR Station",4.0,3.0,3.0,4.0,3.0,17.0,0,KL,3.0,25,0,2.0,1.0,5.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0014255167498218,0.0,0.0024345709068776,0.0024345709068776,0.008771929824561403,0.028056112224448898,0.07142857142857142,0.0
17,新記魚蛋,Below $50,54,1,0,Hong Kong Style,Yau Ma Tei,1,0,1.0,30.0,['0'],['0'],"2-min walk from Exit C, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,1.0,1.0,2.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.008771929824561403,0.028056112224448898,0.0,0.0
18,阿爺八鮮鍋海鮮小廚,$51-100,54,3,0,Hong Kong Style,Yau Ma Tei,3,0,1.0,40.0,['Cash'],"['Alcoholic Drinks', 'May Bring Your Own Wine']","6-min walk from Exit B1, Jordan MTR Station",4.0,4.0,4.0,4.0,4.0,20.0,0,KL,3.0,75,0,1.0,2.0,6.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0014255167498218,0.0,0.0012172854534388,0.0012172854534388,0.008771929824561403,0.038076152304609215,0.0,0.0625
19,Saint Honore Cake Shop 聖安娜餅屋,Below $50,71,1,0,Hong Kong Style,Yau Ma Tei,4,0,112.0,30.0,"['Visa', 'Master', 'Cash', 'Octopus', 'AE', 'UnionPay', 'Apple Pay', 'Google Pay']",['0'],"1-min walk from Exit D, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,4.0,16.0,0,KL,1.0,25,0,8.0,1.0,1.0,0,1,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0018259281801582,0.0018259281801582,0.9824561403508771,0.028056112224448898,0.5,0.0
20,Ming Fat Cafe Restaurant 鳴發茶餐廳,Below $50,76,7,0,Hong Kong Style,Yau Ma Tei,10,0,1.0,30.0,['Cash'],"['Alcoholic Drinks', 'Parking', 'Phone Reservation']","3-min walk from Exit A, Jordan MTR Station",1.0,1.0,1.0,1.0,1.0,5.0,0,KL,7.0,25,0,1.0,3.0,3.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0042765502494654,0.0,0.0054777845404747,0.0054777845404747,0.008771929824561403,0.028056112224448898,0.0,0.125
21,聯合粉麵小食,Below $50,78,2,0,Hong Kong Style,Yau Ma Tei,4,0,1.0,30.0,['0'],['0'],"7-min walk from Exit B1, Jordan MTR Station",4.0,3.0,3.0,3.0,4.0,17.0,0,KL,2.0,25,0,1.0,1.0,7.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.0018259281801582,0.0018259281801582,0.008771929824561403,0.028056112224448898,0.0,0.0
22,Mr.MIX Catering 半唐番到會,$51-100,79,18,0,International,Kowloon Bay,19,0,0.0,40.0,,,,4.0,4.0,3.0,4.0,3.0,17.5,0,KL,18.0,75,0,4.0,5.0,5.0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0121168923734853,0.0,0.0109555690809494,0.0109555690809494,0.0,0.038076152304609215,0.21428571428571427,0.25
23,Tung Kee Seafood Kitchen 東記海鮮小廚,Below $50,79,1,0,Guangdong,Yau Ma Tei,1,0,1.0,30.0,"['AlipayHK', 'Alipay', 'Cash', 'Octopus', 'BoC Pay']","['Online Reservation', 'Reward Dining Points', 'Spot payment']","5-min walk from Exit A, Jordan MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,5.0,3.0,5.0,1,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.008771929824561403,0.028056112224448898,0.2857142857142857,0.125
24,Queen Elizabeth Hospital Staff Canteen 伊利沙伯醫院職員飯堂,Below $50,81,2,0,Hong Kong Style,Yau Ma Tei,12,0,1.0,30.0,"['AlipayHK', 'Cash', 'Octopus', 'WeChat Pay']",['0'],"15-min walk from Exit C, Yau Ma Tei MTR Station",2.0,2.0,3.0,3.0,3.0,13.0,0,KL,2.0,25,0,4.0,1.0,15.0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.0066950699939135,0.0066950699939135,0.008771929824561403,0.028056112224448898,0.21428571428571427,0.0
25,Original Cake Shop 源祖之味古早蛋糕店,$51-100,81,18,0,Taiwan,North Point,18,0,3.0,40.0,['0'],['0'],"2-min walk from Exit A1, North Point MTR Station",4.0,4.0,4.0,4.0,4.0,20.0,0,HK,18.0,75,0,1.0,1.0,2.0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0121168923734853,0.0,0.01034692635423,0.01034692635423,0.02631578947368421,0.038076152304609215,0.0,0.0
26,燒金窩,$101-200,81,24,0,Hong Kong Style,Yau Ma Tei,25,0,1.0,56.0,['Cash'],['0'],"3-min walk from Exit A1, Yau Ma Tei MTR Station",4.0,4.0,4.0,4.0,4.0,20.0,0,KL,24.0,150,0,1.0,1.0,3.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0163934426229508,0.0,0.0146074254412659,0.0146074254412659,0.008771929824561403,0.05410821643286572,0.0,0.0
27,DON DON DONKI 激安之殿堂美食廣場,$51-100,88,3,0,Japanese,Kowloon Bay,5,0,8.0,40.0,"['Visa', 'Master', 'AlipayHK', 'Alipay', 'Cash']",['0'],"Exit B, Kowloon Bay MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,3.0,75,0,5.0,1.0,5.0,0,0,0,1,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0014255167498218,0.0,0.0024345709068776,0.0024345709068776,0.07017543859649122,0.038076152304609215,0.2857142857142857,0.0
28,Government Employees Association 政府人員協會,$101-200,89,4,0,Hong Kong Style,Yau Ma Tei,4,0,1.0,56.0,['Cash'],['0'],"4-min walk from Exit C, Yau Ma Tei MTR Station",4.0,2.0,3.0,3.0,3.0,15.0,0,KL,4.0,150,0,1.0,1.0,4.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0021382751247327,0.0,0.0018259281801582,0.0018259281801582,0.008771929824561403,0.05410821643286572,0.0,0.0
29,Mrs. Fields Cookies 菲爾斯曲奇專賣店,Below $50,91,3,0,Western,Yau Ma Tei,3,0,12.0,30.0,"['Visa', 'Master', 'AlipayHK', 'Cash', 'Octopus']","['Wi-Fi', 'Alcoholic Drinks', 'May Bring Your Own Wine', 'Delivery', '10% Service Charge']","1-min walk from Exit D, Yau Ma Tei MTR Station",4.0,4.0,4.0,4.0,3.0,19.0,0,KL,3.0,25,0,5.0,5.0,1.0,0,0,0,0,0,1,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0014255167498218,0.0,0.0012172854534388,0.0012172854534388,0.10526315789473684,0.028056112224448898,0.2857142857142857,0.25
30,廟街小廚。川味館,$51-100,96,1,0,Guangdong,Yau Ma Tei,2,0,1.0,35.0,"['AlipayHK', 'Alipay', 'Cash', 'WeChat Pay']","['May Bring Your Own Wine', '10% Service Charge']","1-min walk from Exit C, Yau Ma Tei MTR Station",4.0,4.0,3.0,4.0,3.0,17.5,0,KL,1.0,75,0,4.0,2.0,1.0,1,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0006086427267194,0.0006086427267194,0.008771929824561403,0.033066132264529056,0.21428571428571427,0.0625
31,Honey Bakery 甜心飽餅店,Below $50,96,3,0,Hong Kong Style,Yau Ma Tei,4,0,1.0,30.0,['0'],['0'],"1-min walk from Exit B1, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,3.0,25,0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0014255167498218,0.0,0.0018259281801582,0.0018259281801582,0.008771929824561403,0.028056112224448898,0.0,0.0
32,百寶堂,Below $50,97,2,0,Hong Kong Style,Yau Ma Tei,2,0,3.0,30.0,['Cash'],['0'],"6-min walk from Exit B1, Jordan MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,2.0,25,0,1.0,1.0,6.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.0006086427267194,0.0006086427267194,0.02631578947368421,0.028056112224448898,0.0,0.0
33,LY Nathan Cafe LY彌敦冰室,$51-100,97,2,0,Hong Kong Style,Yau Ma Tei,4,0,0.0,40.0,,,,4.0,4.0,3.0,4.0,3.0,17.5,0,KL,2.0,75,0,4.0,5.0,5.0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.0018259281801582,0.0018259281801582,0.0,0.038076152304609215,0.21428571428571427,0.25
34,東海粥店,Below $50,100,2,1,Hong Kong Style,Yau Ma Tei,5,0,2.0,30.0,"['AlipayHK', 'Cash']",['0'],"1-min walk from Exit B2, Jordan MTR Station",3.0,3.0,3.0,3.0,4.0,16.0,0,KL,2.0,25,0,2.0,1.0,1.0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0066666666666666,0.0024345709068776,0.0024345709068776,0.017543859649122806,0.028056112224448898,0.07142857142857142,0.0
35,Yeah Lok Deli 贏樂小館,Below $50,100,2,0,Guangdong,Yau Ma Tei,7,0,1.0,30.0,['Cash'],['0'],"3-min walk from Exit C, Yau Ma Tei MTR Station",3.0,3.0,4.0,4.0,3.0,17.0,0,KL,2.0,25,0,1.0,1.0,3.0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.0036518563603164,0.0036518563603164,0.008771929824561403,0.028056112224448898,0.0,0.0
36,HOLLYFOOD,Below $50,102,1,0,Western,Yau Ma Tei,2,0,1.0,30.0,"['AlipayHK', 'Alipay', 'Cash', 'WeChat Pay', 'FPS']",['0'],"6-min walk from Exit C, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,5.0,1.0,6.0,0,0,0,0,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0006086427267194,0.0006086427267194,0.008771929824561403,0.028056112224448898,0.2857142857142857,0.0
37,包餃掂,$51-100,105,34,0,Hong Kong Style,Yuen Long,36,0,1.0,40.0,['Cash'],['0'],"9-min walk from Exit A, Yuen Long MTR Station",4.0,4.0,4.0,4.0,4.0,20.0,0,NT,34.0,75,0,1.0,1.0,9.0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0235210263720598,0.0,0.0213024954351795,0.0213024954351795,0.008771929824561403,0.038076152304609215,0.0,0.0
38,陳允寶泉,$51-100,110,1,0,Taiwan,Yau Ma Tei,1,0,4.0,40.0,['Cash'],['0'],"1-min walk from Exit A2, Yau Ma Tei MTR Station",4.0,4.0,3.0,4.0,3.0,17.5,0,KL,1.0,75,0,1.0,1.0,1.0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.03508771929824561,0.038076152304609215,0.0,0.0
39,台灣廣良興食品,Below $50,112,4,0,Hong Kong Style,Yau Ma Tei,5,0,1.0,30.0,['0'],['0'],"1-min walk from Exit C, Yau Ma Tei MTR Station",4.0,3.0,3.0,3.0,4.0,17.0,0,KL,4.0,25,0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0021382751247327,0.0,0.0024345709068776,0.0024345709068776,0.008771929824561403,0.028056112224448898,0.0,0.0
40,Wens Jiawei 溫氏佳味,Below $50,116,4,0,Guangdong,Yau Ma Tei,6,0,1.0,30.0,['0'],['0'],"6-min walk from Exit A, Austin  MTR Station",3.0,4.0,4.0,4.0,4.0,19.0,0,KL,4.0,25,0,1.0,1.0,6.0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0021382751247327,0.0,0.003043213633597,0.003043213633597,0.008771929824561403,0.028056112224448898,0.0,0.0
41,Arome Bakery 東海堂,Below $50,118,11,2,Western,Yau Ma Tei,25,0,89.0,30.0,"['Visa', 'Master', 'Cash', 'Octopus', 'AE', 'Apple Pay', 'Google Pay']",['Phone Reservation'],"2-min walk from Exit B1, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,2.0,14.0,0,KL,5.5,25,0,7.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.007127583749109,0.0133333333333333,0.0146074254412659,0.0146074254412659,0.7807017543859649,0.028056112224448898,0.4285714285714286,0.0
42,Bumper Crop Macau Restaurant 大豐澳門餐廳,$51-100,119,18,0,Hong Kong Style,Kowloon Bay,18,0,1.0,170.0,"['Visa', 'Master', 'AlipayHK', 'Cash', 'Octopus', 'UnionPay']",['0'],"10-min walk from Exit B, Kowloon Bay MTR Station",4.0,4.0,4.0,4.0,4.0,20.0,0,KL,18.0,75,0,6.0,1.0,10.0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0121168923734853,0.0,0.01034692635423,0.01034692635423,0.008771929824561403,0.16833667334669336,0.3571428571428571,0.0
